ST_CASE,Start_Time,End_Time,Time_of_the_day,Day_of_the_Week,Season
10773,9:00am,9:59am,morning,Tuesday,fall
10774,6:00pm,6:59pm,evening,Tuesday,fall
10775,10:00pm,10:59pm,dusk,Thursday,fall
10776,11:00pm,11:59pm,afternoon,Thursday,fall
10777,2:00pm,2:59pm,afternoon,Thursday,fall
10778,9:00pm,9:59pm,dusk,Friday,fall
10779,4:00am,4:59am,dawn,Friday,fall
10780,1:00am,1:59am,dawn,Friday,fall
10781,11:00pm,11:59pm,afternoon,Saturday,fall
10782,5:00am,5:59am,morning,Saturday,fall
10783,7:00pm,7:59pm,evening,Sunday,fall
10784,9:00pm,9:59pm,dusk,Sunday,fall
10785,4:00pm,4:59pm,afternoon,Monday,fall
10786,0:00am,0:59am,dawn,Tuesday,fall
10787,11:00pm,11:59pm,afternoon,Tuesday,fall
10788,10:00am,10:59am,morning,Monday,fall
10789,12:00pm,12:59pm,afternoon,Tuesday,fall
10790,5:00pm,5:59pm,evening,Tuesday,fall
10791,7:00pm,7:59pm,evening,Wednesday,fall
10792,10:00pm,10:59pm,dusk,Thursday,fall
10793,2:00pm,2:59pm,afternoon,Thursday,fall
10794,11:00am,11:59am,morning,Monday,fall
10795,10:00pm,10:59pm,dusk,Friday,fall
10796,0:00am,0:59am,dawn,Friday,fall
10797,1:00am,1:59am,dawn,Saturday,fall
10798,11:00pm,11:59pm,afternoon,Saturday,fall
10799,10:00pm,10:59pm,dusk,Saturday,fall
10801,2:00am,2:59am,dawn,Saturday,fall
10802,0:00am,0:59am,dawn,Saturday,fall
10803,7:00pm,7:59pm,evening,Sunday,fall
10804,1:00am,1:59am,dawn,Sunday,fall
10805,9:00pm,9:59pm,dusk,Monday,fall
10806,3:00pm,3:59pm,afternoon,Monday,fall
10807,1:00pm,1:59pm,afternoon,Monday,fall
10808,5:00pm,5:59pm,evening,Tuesday,fall
10809,1:00am,1:59am,dawn,Tuesday,fall
10810,6:00pm,6:59pm,evening,Wednesday,fall
10811,6:00pm,6:59pm,evening,Wednesday,fall
10812,2:00pm,2:59pm,afternoon,Wednesday,fall
10813,11:00pm,11:59pm,afternoon,Saturday,fall
10814,4:00pm,4:59pm,afternoon,Saturday,fall
10815,1:00am,1:59am,dawn,Friday,fall
10816,11:00pm,11:59pm,afternoon,Saturday,winter
10817,1:00pm,1:59pm,afternoon,Friday,fall
10818,0:00am,0:59am,dawn,Friday,fall
10819,6:00pm,6:59pm,evening,Thursday,fall
