ST_CASE,StateName,CountyName,CityName,Latitude,Longitude
131415,Georgia,COBB (67),MARIETTA,33.94291944,-84.53271389
131417,Georgia,DOUGHERTY (95),ALBANY,31.58138889,-84.17617222
131418,Georgia,COBB (67),MARIETTA,33.9274,-84.49303889
131419,Georgia,CARROLL (45),NOT APPLICABLE,33.51448611,-85.07804722
131420,Georgia,BIBB (21),MACON,32.90248056,-83.78821944
131421,Georgia,CAMDEN (39),KINGSLAND,30.79166944,-81.66173611
131422,Georgia,TOWNS (281),YOUNG HARRIS,34.96230556,-83.84621944
131423,Georgia,CANDLER (43),METTER,32.44019722,-82.09233889
131424,Georgia,TROUP (285),LA GRANGE,33.06637778,-84.93762778
131425,Georgia,COBB (67),MARIETTA,34.07423056,-84.52216944
131426,Georgia,BIBB (21),MACON,32.84468611,-83.54206111
131427,Georgia,CHATHAM (51),SAVANNAH,32.05485278,-81.16698889
131428,Georgia,DOUGHERTY (95),ALBANY,31.48421944,-84.22940278
131429,Georgia,GWINNETT (135),DULUTH,33.93947778,-84.15508056
131430,Georgia,GWINNETT (135),LAWRENCEVILLE,33.9926,-84.03385
131431,Georgia,SCREVEN (251),NOT APPLICABLE,32.82316389,-81.72217778
131432,Georgia,GWINNETT (135),Not Reported,33.97496111,-83.90775
131433,Georgia,MUSCOGEE (215),COLUMBUS,32.46477222,-84.921125
131434,Georgia,CHATHAM (51),SAVANNAH,32.05089444,-81.15379167
131435,Georgia,FRANKLIN (119),LAVONIA,34.40666389,-83.14865833
131436,Georgia,ELBERT (105),ELBERTON,34.12036111,-82.8865
131437,Georgia,SCHLEY (249),ELLAVILLE,32.31772222,-84.34251944
131438,Georgia,CHATHAM (51),Other,31.93371111,-81.09942222
131439,Georgia,BULLOCH (31),BROOKLET,32.38756389,-81.6639
131440,Georgia,LUMPKIN (187),NOT APPLICABLE,34.54285556,-83.95694444
131441,Georgia,GLYNN (127),NOT APPLICABLE,31.40228333,-81.65143333
131442,Georgia,COBB (67),NOT APPLICABLE,33.91729722,-84.58474722
131443,Georgia,RICHMOND (245),AUGUSTA,33.44330833,-82.02928889
131444,Georgia,JASPER (159),FARRAR,33.46588889,-83.648125
131445,Georgia,DOUGHERTY (95),ALBANY,31.46476389,-84.11817222
131446,Georgia,SEMINOLE (253),DONALSONVILLE,31.0399,-84.86400833
